space,99.01140805566146
technical,11.399521586165712
professionals,16.458565744102337
short,4.243283792340425
course,15.760421071363309
including,3.3775173041049715
issues,8.944422146924929
flight,38.9733033481151
current,6.074583250418258
developments,5.629578153460315
future,11.933236645668977
trends,10.394263873042087
nature,5.800768994001818
universe,11.352568901754783
environment,6.1648515650146205
basic,6.750777821976918
history,3.8527353202971613
program,4.311458335060145
mission,10.992390808925942
types,9.161058434424021
missions,7.758999627445172
goes,6.008062152737372
satellites,18.485891284643156
executives,8.472349515322637
managers,7.086055154202746
administrators,8.472349515322637
policy,5.40017481612825
makers,7.23427109851019
nontechnical,12.364169813433264
aerospace,8.780650874977153
related,7.677620118701265
industries,7.23427109851019
fundamentals,10.977875452313373
planning,5.1971319365210435
knowledge,4.888830576866527
technologies,17.715137885506863
insight,7.23427109851019
attendees,10.977875452313373
receive,5.31144876420094
limitations,7.568379267836522
definitions,6.475291855100383
survey,7.795697904781566
industry,5.437911162748831
orbits,21.955750904626747
spacecraft,9.591581091193483
international,2.9093941760085826
shuttle,6.818992368953701
laws,4.795790545596741
rocket,12.307930095110388
maneuvering,12.364169813433264
launch,31.035998509780686
vehicles,6.275124937986417
business,3.494415209705122
satellite,11.091534770785895
vehicle,9.139772072362446
technology,6.116850540975298
opportunities,5.629578153460315
prospects,5.5617750501089525
kaplan,18.546254720149896
development,2.7236066822231897
dr,4.500518547984612
reusable,12.364169813433264
design,4.077900360650198
chief,4.841769582046139
engineer,8.472349515322637
